w11,w12,w13,w21,w22,w23,w31,w32,w33,w41,w42,w43
0.02181972,0.049698,0.013898502,-0.018918602,0.037854597,0.039648294,-0.015838467,-0.02036804,-0.015732406,0.005613509,-0.017429965,-0.010643635
0.021896211,0.049834605,0.013911962,-0.01891747,0.03767297,0.039533757,-0.015717236,-0.020340787,-0.015728755,0.005663316,-0.017432814,-0.010686073
0.021867016,0.049745698,0.013941182,-0.018918375,0.037740033,0.039663836,-0.015783006,-0.02027774,-0.015730523,0.005656509,-0.01743076,-0.01067546
0.021825925,0.0498249,0.013977245,-0.018921133,0.03775466,0.039732605,-0.015764022,-0.020304475,-0.015730632,0.005657128,-0.017429352,-0.010788346
0.021773703,0.049811997,0.013953842,-0.018923994,0.037776094,0.03987181,-0.015798273,-0.02025718,-0.015749903,0.005671342,-0.01743042,-0.010680057
0.021739792,0.04982823,0.013946267,-0.018918075,0.03765743,0.03956703,-0.015779352,-0.02037135,-0.01573738,0.005691137,-0.017428752,-0.010792294
0.021818021,0.049892128,0.013916624,-0.018922912,0.03767319,0.039792072,-0.015872119,-0.020288264,-0.015769733,0.005693219,-0.01743251,-0.010767748
0.021757038,0.049679406,0.014041351,-0.018918043,0.03767512,0.03972747,-0.016074019,-0.020302517,-0.01576442,0.005702965,-0.017429804,-0.010637872
0.021865442,0.04993055,0.013952881,-0.018918918,0.037535522,0.03923628,-0.01604285,-0.020316426,-0.015781565,0.005683562,-0.017442632,-0.010969549
0.02176084,0.0497118,0.014049859,-0.018915685,0.03765779,0.039354216,-0.01613846,-0.020299917,-0.015757052,0.005659767,-0.017440232,-0.010933681
0.02172621,0.049619123,0.014089267,-0.018915692,0.03762595,0.03949142,-0.016098293,-0.020303925,-0.015765954,0.005678114,-0.01744417,-0.010883014
0.021739954,0.04974558,0.014050015,-0.01892414,0.03758072,0.039127633,-0.016108328,-0.020341033,-0.015763463,0.005689725,-0.017445002,-0.01087057
0.021657344,0.04977699,0.013994092,-0.018922826,0.037667826,0.03911226,-0.01610955,-0.02034559,-0.015765077,0.005677971,-0.017443515,-0.010866283
0.021551253,0.04960271,0.014002888,-0.018927572,0.037763793,0.03904631,-0.01612258,-0.020332376,-0.015768941,0.005682646,-0.017443953,-0.01081712
0.021572659,0.049595397,0.014050747,-0.018922122,0.03760615,0.038823087,-0.016055616,-0.020398919,-0.015776949,0.005704648,-0.017442172,-0.01085256
0.021610832,0.049678214,0.013989682,-0.0189171,0.037653655,0.039101865,-0.01614978,-0.020360136,-0.015771015,0.005743202,-0.017439535,-0.010767269
0.021575112,0.049785208,0.014021172,-0.018916702,0.037486978,0.03861503,-0.016205816,-0.02035285,-0.015762947,0.005758215,-0.01744098,-0.010753091
0.021609606,0.049700797,0.013967068,-0.018911319,0.03744664,0.03870746,-0.016237183,-0.020268723,-0.01575295,0.005801249,-0.017439505,-0.010774154
0.021477604,0.049396332,0.013942901,-0.018905029,0.037353825,0.038221102,-0.016337687,-0.020314462,-0.015733352,0.005810832,-0.01744067,-0.010779865
0.021779427,0.04973471,0.01361689,-0.018907623,0.03744015,0.038891282,-0.016402533,-0.019948015,-0.015772985,0.005863032,-0.017441357,-0.010901356
0.021749321,0.049783666,0.013624701,-0.018909557,0.037362617,0.03856376,-0.016409555,-0.01996463,-0.015766915,0.005867374,-0.017439561,-0.01085134
0.021681381,0.049622152,0.013656936,-0.018908974,0.03747261,0.03878651,-0.016428782,-0.019963522,-0.015765898,0.005868829,-0.017436072,-0.010733428
0.021665674,0.049655557,0.013671756,-0.018905597,0.03744328,0.038719192,-0.01643454,-0.019970194,-0.015764585,0.005874678,-0.017434794,-0.010836829
0.021603055,0.049580563,0.013721987,-0.018910564,0.03754317,0.03895787,-0.016421773,-0.019985558,-0.01576077,0.005868217,-0.017439187,-0.010854264
0.021491667,0.04948887,0.013801349,-0.018901616,0.03754353,0.038986698,-0.016458737,-0.019974452,-0.015767017,0.005847182,-0.017435463,-0.010908152
0.021696236,0.049900744,0.013772077,-0.018907504,0.036956973,0.037889913,-0.016432451,-0.020007882,-0.015758416,0.00589674,-0.017451733,-0.011173651
0.02161101,0.049705785,0.013813309,-0.018901885,0.037062295,0.038181104,-0.01665544,-0.019995239,-0.01573146,0.005889398,-0.017442951,-0.011150044
0.021524781,0.049489036,0.013890103,-0.01889991,0.037211332,0.03857942,-0.016631495,-0.019983182,-0.015746014,0.005880544,-0.017436367,-0.011127111
0.021497333,0.04941107,0.013944682,-0.018898,0.03733848,0.038746964,-0.01659034,-0.019987518,-0.015735438,0.005876738,-0.017443907,-0.011069443
0.021537919,0.04947634,0.01389182,-0.018900834,0.037312333,0.038635682,-0.016598098,-0.020025935,-0.015724583,0.005900766,-0.017442882,-0.011068596
0.02153722,0.049432434,0.013932653,-0.01890063,0.037238628,0.038665723,-0.016457973,-0.020026524,-0.015753416,0.005849059,-0.017437676,-0.011059993
0.02144936,0.049447317,0.013912675,-0.018898455,0.037383165,0.038739063,-0.016486317,-0.020054214,-0.01572999,0.005838665,-0.017434647,-0.011038274
0.02145568,0.04944997,0.013947764,-0.018901506,0.037573297,0.03909188,-0.016467467,-0.0200929,-0.015710013,0.005840375,-0.017432133,-0.011033488
0.021507362,0.049469266,0.013906253,-0.018903289,0.037569728,0.039195288,-0.01648553,-0.020090012,-0.015727138,0.005923542,-0.01742722,-0.010999121
0.02150416,0.04950671,0.013981249,-0.018909844,0.037490346,0.03902457,-0.016555369,-0.020098906,-0.015722673,0.005942286,-0.01742186,-0.010876854
0.021441733,0.0495094,0.013966008,-0.018905109,0.0375437,0.038820766,-0.016586967,-0.02011697,-0.015732411,0.005887473,-0.017418833,-0.010885249
0.021416036,0.049717348,0.013947926,-0.01890101,0.037597213,0.038928997,-0.016485851,-0.020112693,-0.015743662,0.005911864,-0.017416863,-0.010903967
0.021569818,0.04966005,0.013937934,-0.01890989,0.037757754,0.039793234,-0.016437752,-0.020079404,-0.015755564,0.005923304,-0.01742193,-0.010852531
0.021509077,0.04975887,0.013982827,-0.018907381,0.037598312,0.03939969,-0.016449774,-0.020169215,-0.015749635,0.005901181,-0.017421057,-0.010877265
0.021454979,0.04966548,0.013985616,-0.018906971,0.037632946,0.039501816,-0.016502522,-0.020194799,-0.015737526,0.005909793,-0.017417328,-0.010807722
0.021371912,0.049572986,0.013985013,-0.018904483,0.037631795,0.039607763,-0.016395606,-0.020146841,-0.015760645,0.005894647,-0.017418478,-0.010851536
0.021350713,0.049516708,0.013992354,-0.018903306,0.037607614,0.03942704,-0.016326621,-0.020131141,-0.015770644,0.005902163,-0.017426183,-0.01082946
0.021372275,0.04953495,0.014049135,-0.018899478,0.03745547,0.0392001,-0.016505526,-0.02012874,-0.015712395,0.005902339,-0.017415406,-0.010796856
0.021355242,0.04951499,0.014081379,-0.01889558,0.03752837,0.03932215,-0.016465155,-0.020143628,-0.015735226,0.005907667,-0.017419023,-0.010819958
0.021322295,0.049566753,0.014007107,-0.01889727,0.037401736,0.03904952,-0.016458787,-0.02012435,-0.015743623,0.005874492,-0.017417228,-0.010898506
0.021269398,0.049542785,0.014023921,-0.018893141,0.037234176,0.038377464,-0.016500624,-0.020170404,-0.015734363,0.00588567,-0.017419418,-0.010899008
0.021332117,0.0494918,0.014011075,-0.018897308,0.037281726,0.038444135,-0.016565224,-0.020212013,-0.015718952,0.005961978,-0.017419357,-0.010934235
